split,sample_idx,state,w_cnn,w_vit,r_cnn,r_vit,cnn_correct,vit_correct,fused_pred,fused_correct
val,0,6,0.49999999999999994,0.5,-0.08359861373901367,0.8833985328674316,1,1,6,1
val,1,6,0.48550006417550323,0.5144999358244968,0.2794119119644165,0.9518113136291504,1,1,6,1
val,2,2,0.49999999999999994,0.5,-0.15367883443832397,0.9938076734542847,0,1,2,1
val,3,6,0.47543350077572744,0.5245664992242726,0.11950349807739258,0.9819815158843994,1,1,6,1
val,4,9,0.49999999999999994,0.5,0.8741030693054199,0.9240908622741699,1,1,9,1
val,5,9,0.4992501837994039,0.5007498162005961,0.9240813255310059,0.8999803066253662,1,1,9,1
val,6,8,0.49999999999999994,0.5,-0.46088021993637085,0.8878836631774902,0,1,8,1
val,7,4,0.49999999999999994,0.5,0.38043880462646484,0.9683539867401123,1,1,4,1
val,8,2,0.4827960914972405,0.5172039085027595,0.17520081996917725,0.9961212873458862,1,1,2,1
val,9,4,0.4911824010366104,0.5088175989633896,0.5060238838195801,0.9928547143936157,1,1,4,1
val,10,9,0.49961169848542747,0.5003883015145725,0.9392820596694946,0.9295928478240967,1,1,9,1
val,11,1,0.49999999999999994,0.5,0.06975042819976807,0.997275710105896,1,1,1,1
val,12,4,0.48388570302950457,0.5161142969704955,0.4568815231323242,0.8306388854980469,1,1,4,1
val,13,2,0.4705161938703176,0.5294838061296824,0.21754920482635498,0.9888148307800293,1,1,2,1
val,14,5,0.49999999999999994,0.5,0.006342887878417969,0.9881473779678345,1,1,5,1
val,15,7,0.49999999999999994,0.5,-0.5144955813884735,0.9758824110031128,0,1,7,1
val,16,4,0.4782893180594818,0.5217106819405182,0.37384188175201416,0.9468631744384766,1,1,4,1
val,17,8,0.4797821619785284,0.5202178380214716,-0.19215166568756104,0.9529995918273926,0,1,8,1
val,18,0,0.49999999999999994,0.5,0.10221648216247559,0.9398186206817627,1,1,0,1
val,19,1,0.4860915521488279,0.5139084478511722,0.31460297107696533,0.9975104331970215,1,1,1,1
val,20,1,0.47586668571955554,0.5241333142804445,0.10252594947814941,0.9940228462219238,1,1,1,1
val,21,8,0.46267720860617806,0.5373227913938219,-0.13105952739715576,0.9421868324279785,0,1,8,1
val,22,4,0.46972294170158685,0.5302770582984131,0.20605099201202393,0.9743826389312744,1,1,4,1
val,23,8,0.4467433308683409,0.5532566691316592,-0.3180614113807678,0.8362104892730713,0,1,8,1
val,24,5,0.4852781881786403,0.5147218118213597,0.12546980381011963,0.9843301773071289,1,1,5,1
val,25,2,0.4590187725584656,0.5409812274415344,0.17489290237426758,0.9977912902832031,1,1,2,1
val,26,8,0.4297574848899231,0.570242515110077,-0.2333657145500183,0.9282023906707764,0,1,8,1
val,27,6,0.4625586411256409,0.5374413588743592,-0.622903972864151,0.9428447484970093,0,1,6,1
val,28,4,0.4582723743401525,0.5417276256598476,0.42815494537353516,0.619708776473999,1,1,4,1
val,29,3,0.49999999999999994,0.5,0.36672043800354004,0.9905682802200317,1,1,3,1
val,30,6,0.4393568165394596,0.5606431834605403,-0.37371504306793213,0.9750188589096069,0,1,6,1
val,31,7,0.47766270346029643,0.5223372965397035,-0.026246726512908936,0.9756730794906616,1,1,7,1
val,32,4,0.45542549725570086,0.5445745027442992,0.44940781593322754,0.7897852659225464,1,1,4,1
val,33,1,0.46255782072440826,0.5374421792755917,0.46240878105163574,0.9975862503051758,1,1,1,1
val,34,1,0.45459839314625855,0.5454016068537415,0.22193360328674316,0.9971530437469482,1,1,1,1
val,35,4,0.4503758229802928,0.5496241770197072,0.4805772304534912,0.3509448766708374,1,1,4,1
val,36,6,0.4196260555782534,0.5803739444217466,0.3433138132095337,0.9861867427825928,1,1,6,1
val,37,0,0.48743923158613317,0.5125607684138669,-0.11248660087585449,0.5048960447311401,0,1,0,1
val,38,2,0.44681122532698125,0.5531887746730187,0.20877611637115479,0.9970206022262573,1,1,2,1
val,39,5,0.47242462084099424,0.5275753791590058,0.004838466644287109,-0.046536147594451904,1,0,5,1
val,40,8,0.41286900532884513,0.5871309946711549,-0.27668434381484985,0.8351900577545166,0,1,8,1
val,41,9,0.49975703659034315,0.5002429634096568,0.9378024339675903,0.901019811630249,1,1,9,1
val,42,2,0.4351915019018098,0.5648084980981902,-0.021596431732177734,0.9550900459289551,1,1,2,1
val,43,1,0.44312094696075727,0.5568790530392427,0.3788599967956543,0.9916547536849976,1,1,1,1
val,44,4,0.45229756559026535,0.5477024344097347,0.3615412712097168,0.7428668737411499,1,1,4,1
val,45,9,0.5003087758533343,0.49969122414666567,0.8635743856430054,0.5331888198852539,1,1,9,1
val,46,1,0.43410042399932025,0.5658995760006797,0.4765043258666992,0.9975591897964478,1,1,1,1
val,47,3,0.4906436309830782,0.5093563690169218,-0.1184036135673523,0.9949333667755127,0,1,3,1
val,48,2,0.4209170446168632,0.5790829553831368,0.15887367725372314,0.9943625926971436,1,1,2,1
val,49,0,0.47819232423488145,0.5218076757651186,0.09588217735290527,0.9970529079437256,1,1,0,1
val,50,5,0.4731924261480619,0.5268075738519381,0.23706483840942383,0.9366960525512695,1,1,5,1
val,51,3,0.4739713136265538,0.5260286863734462,0.21600937843322754,0.9950119256973267,1,1,3,1
val,52,9,0.5052643192196695,0.4947356807803305,0.9687244892120361,0.9134098291397095,1,1,9,1
val,53,4,0.446649870697025,0.553350129302975,0.3455839157104492,0.4732910394668579,1,1,4,1
